id	date	time	signal
7001001027	2024-08-23	17:26:41	-64.0
7001001018	2024-08-23	17:26:43	-50.0
7001001021	2024-08-23	17:26:47	-45.0
7001001027	2024-08-23	17:26:51	-65.0
7001001018	2024-08-23	17:26:53	-50.0
7001001021	2024-08-23	17:26:57	-45.0
7001001027	2024-08-23	17:27:01	-64.0
7001001018	2024-08-23	17:27:03	-50.0
7001001021	2024-08-23	17:27:07	-45.0
7001001027	2024-08-23	17:27:11	-63.0
7001001018	2024-08-23	17:27:13	-51.0
7001001021	2024-08-23	17:27:17	-96.0
7001001027	2024-08-23	17:27:21	-57.0
7001001018	2024-08-23	17:27:23	-50.0
7001001021	2024-08-23	17:27:27	-87.0
7001001027	2024-08-23	17:27:31	-57.0
7001001018	2024-08-23	17:27:33	-50.0
7001001021	2024-08-23	17:27:37	-86.0
7001001027	2024-08-23	17:27:41	-58.0
7001001018	2024-08-23	17:27:43	-51.0
7001001027	2024-08-23	17:27:51	-58.0
7001001018	2024-08-23	17:27:53	-51.0
7001001027	2024-08-23	17:28:01	-57.0
7001001018	2024-08-23	17:28:03	-51.0
7001001027	2024-08-23	17:28:11	-58.0
7001001018	2024-08-23	17:28:13	-50.0
7001001027	2024-08-23	17:28:21	-57.0
7001001018	2024-08-23	17:28:23	-51.0
7001001027	2024-08-23	17:28:31	-58.0
7001001018	2024-08-23	17:28:33	-51.0
7001001027	2024-08-23	17:28:41	-57.0
7001001018	2024-08-23	17:28:43	-50.0
7001001027	2024-08-23	17:28:51	-57.0
7001001018	2024-08-23	17:28:53	-50.0
7001001027	2024-08-23	17:29:01	-57.0
7001001018	2024-08-23	17:29:03	-50.0
7001001021	2024-08-23	17:29:07	-98.0
7001001027	2024-08-23	17:29:11	-57.0
7001001018	2024-08-23	17:29:13	-51.0
7001001021	2024-08-23	17:29:17	-66.0
7001001027	2024-08-23	17:29:21	-57.0
7001001018	2024-08-23	17:29:23	-50.0
7001001021	2024-08-23	17:29:27	-66.0
7001001027	2024-08-23	17:29:31	-57.0
7001001018	2024-08-23	17:29:33	-51.0
7001001021	2024-08-23	17:29:37	-66.0
7001001027	2024-08-23	17:29:41	-57.0
7001001018	2024-08-23	17:29:43	-50.0
7001001021	2024-08-23	17:29:47	-66.0
7001001027	2024-08-23	17:29:51	-57.0
7001001018	2024-08-23	17:29:53	-50.0
7001001021	2024-08-23	17:29:57	-66.0
7001001027	2024-08-23	17:30:01	-57.0
7001001018	2024-08-23	17:30:03	-50.0
7001001021	2024-08-23	17:30:07	-66.0
7001001027	2024-08-23	17:30:11	-57.0
7001001018	2024-08-23	17:30:13	-51.0
7001001021	2024-08-23	17:30:17	-67.0
7001001027	2024-08-23	17:30:21	-57.0
7001001018	2024-08-23	17:30:23	-50.0
7001001021	2024-08-23	17:30:27	-66.0
7001001027	2024-08-23	17:30:31	-57.0
7001001018	2024-08-23	17:30:33	-51.0
7001001021	2024-08-23	17:30:37	-66.0
7001001027	2024-08-23	17:30:41	-57.0
7001001018	2024-08-23	17:30:43	-51.0
7001001021	2024-08-23	17:30:47	-67.0
7001001027	2024-08-23	17:30:51	-57.0
7001001018	2024-08-23	17:30:53	-51.0
7001001021	2024-08-23	17:30:57	-67.0
7001001027	2024-08-23	17:31:01	-57.0
